project_id,year,chain_length,frequency
3184,2012,1,550731
3184,2012,2,9553
3184,2012,3,725
3184,2012,4,116
3184,2012,5,41
3184,2012,6,23
3184,2012,7,7
3184,2012,8,13
3184,2012,9,7
3184,2012,10,5
3184,2012,11,2
3184,2012,12,3
3184,2012,13,3
3184,2012,15,2
3184,2012,16,2
3184,2012,19,1
3184,2012,21,1
3184,2012,22,1
3184,2012,25,1
3184,2012,35,1
3184,2016,1,550731
3184,2016,2,9553
3184,2016,3,725
3184,2016,4,116
3184,2016,5,41
3184,2016,6,23
3184,2016,7,7
3184,2016,8,13
3184,2016,9,7
3184,2016,10,5
3184,2016,11,2
3184,2016,12,3
3184,2016,13,3
3184,2016,15,2
3184,2016,16,2
3184,2016,19,1
3184,2016,21,1
3184,2016,22,1
3184,2016,25,1
3184,2016,35,1
3193,2009,1,128
3193,2009,2,8
3193,2009,3,1
3274,2011,1,1
3274,2012,1,686
3274,2012,2,22
3274,2012,3,4
3274,2012,5,2
3391,2011,1,2
3399,2009,1,29
3452,2012,1,193
3452,2012,2,31
3472,2012,1,205
3472,2012,2,10
3472,2012,3,1
3472,2013,1,218
3472,2013,2,6
3472,2013,3,1
3661,2011,1,45
3661,2011,2,3
3661,2012,1,45
3661,2012,2,3
3677,2008,1,3
3700,2009,1,327
3700,2009,2,26
3700,2010,1,327
3700,2010,2,26
3700,2011,1,327
3700,2011,2,26
3889,2010,1,505
3889,2010,2,28
3889,2010,3,2
3915,2010,1,121
3915,2010,2,5
3915,2010,4,3
3915,2011,1,152
3915,2011,2,5
3915,2011,4,3
4178,2010,1,212
4178,2010,2,5
4178,2017,1,212
4178,2017,2,5
4210,2009,1,37
4210,2009,2,3
4227,2010,1,829
4227,2010,2,37
4227,2012,1,1319
4227,2012,2,80
4227,2012,3,10
4417,2011,1,121
4417,2011,2,6
4604,2011,1,14
4604,2011,2,2
4604,2011,301,1
4679,2010,1,458
4745,2011,1,64
4745,2011,2,2
4745,2015,1,64
4745,2015,2,3
4786,2012,1,60
4815,2010,1,3184
4815,2010,2,22
4997,2009,1,40
4997,2009,2,6
4997,2009,3,1
4997,2010,1,40
4997,2010,2,6
4997,2010,3,1
4997,2012,1,40
4997,2012,2,6
4997,2012,3,1
5059,2011,1,30
5087,2011,1,66
5087,2011,2,4
5087,2011,3,2
5087,2012,1,63
5087,2012,2,5
5087,2012,5,1
5087,2013,1,63
5087,2013,2,5
5087,2013,5,1
5374,2011,1,10
5605,2008,1,730
5605,2008,2,2
5605,2009,1,730
5605,2009,2,2
5748,2009,1,18
5748,2009,2,8
5748,2011,1,19
5748,2011,2,8
5963,2011,1,32
5963,2011,2,5
5963,2011,3,1
5963,2013,1,32
5963,2013,2,5
5963,2013,3,1
5963,2016,1,32
5963,2016,2,5
5963,2016,3,1
5963,2018,1,32
5963,2018,2,5
5963,2018,3,1
6001,2011,1,35
6001,2011,2,2
