project_id,substore,url,is_fork,is_archived,is_disabled,stars,watchers,size,open_issues,buggy_issues,all_issues,issues,forks,subscribers,language,lifetime,has_issues,has_downloads,has_wiki,has_pages,created,updated,pushed,default_branch,license,homepage,description,heads,commits,authors,committers,users
0,Generic,https://github.com/ibm/plex.git,false,false,false,7479,7479,645984,45,,,,489,186,CSS,137714383,true,true,false,false,1507064330,1645599111,1644778738,"master","SIL Open Font License 1.1","","The package of IBM’s typeface, IBM Plex.",7,315,25,14,26
1,Generic,https://github.com/mxflutter/mxflutter.git,false,false,false,2767,2767,231171,6,,,,309,81,,55720243,true,true,true,false,1561447589,1645072186,1617168586,"master","Other","","基于JavaScript 的Flutter框架 mxflutter",4,168,20,17,21
2,Generic,https://github.com/robotman3000/spent.git,false,false,false,0,0,48700,0,,,,0,1,Swift,79294751,true,true,true,false,1565132086,1633105572,1644506886,"swift","","","The simple expense tracker",4,327,1,2,2
3,Generic,https://github.com/startbootstrap/startbootstrap-clean-blog.git,false,false,false,1617,1617,25015,4,,,,1774,62,,220400853,true,true,true,true,1414196963,1645514895,1644688656,"master","MIT License","https://startbootstrap.com/theme/clean-blog/","A clean Bootstrap blog theme created by Start Bootstrap",2,136,11,11,12
4,Generic,https://github.com/volantis-x/hexo-theme-volantis.git,false,false,false,1370,1370,82069,8,,,,435,28,,136673729,true,true,false,false,1508816802,1645603776,1645490611,"dev","MIT License","https://volantis.js.org","A Wonderful Theme for Hexo https://vlts.cc  https://volantis.js.org",2,1932,41,18,42
5,Generic,https://github.com/claflamme/ld-test.git,false,false,false,0,0,1251,5,,,,0,1,JavaScript,53688472,true,true,true,false,1589164257,1589166236,1642853006,"master","","https://ld-test.now.sh/","Coding test for Loblaw Digital",6,9,2,2,3
6,Generic,https://github.com/doudoufans/antddemo.git,false,false,false,1,1,57452,1,,,,0,1,JavaScript,22364291,true,true,true,false,1587525766,1587884674,1609894426,"master","","","",2,3,2,2,3
7,Generic,https://github.com/encubedlabs/blogtemplate.git,false,false,false,0,0,3917,0,,,,0,2,JavaScript,1294469,true,true,true,false,1589105704,1590399919,1590399916,"master","MIT License","","Base GatsbyJS template",1,5,1,1,1
8,Generic,https://github.com/eswarvarma-dev/hyf-homework-nodejs-3.git,false,false,false,0,0,239,1,,,,0,1,JavaScript,489675,true,true,true,false,1582894075,1582894083,1582894079,"master","","https://lab.github.com/M3kH/create-rest-server-with-nodejs-and-express","",5,8,1,1,1
9,Generic,https://github.com/formattedzzz/react-team.git,false,false,false,0,0,914,6,,,,0,0,JavaScript,50610763,true,true,true,false,1562316881,1571825782,1599707168,"master","","","",7,9,2,2,3
10,Generic,https://github.com/hauptdigital/hyf-homework-nodejs-3.git,false,false,false,0,0,239,2,,,,0,1,JavaScript,489675,true,true,true,false,1585222301,1585222310,1585223191,"master","","https://lab.github.com/M3kH/create-rest-server-with-nodejs-and-express","",5,8,1,1,1
11,Generic,https://github.com/jorgegallegosms/tenor-search.git,false,false,false,0,0,29,2,,,,0,2,JavaScript,58878035,true,true,true,false,1585675713,1585683013,1644554211,"master","","","",3,9,2,2,3
12,Generic,https://github.com/jzecca/color-curve-adjust.git,false,false,false,3,3,127,2,,,,0,1,TypeScript,74507946,true,true,false,false,1560260358,1643937787,1634768946,"master","MIT License","","Performs a Photoshop/GIMP curve adjustment on a RGB color",1,7,2,2,3
13,Generic,https://github.com/manu506-1234/bwm-react.git,false,false,false,0,0,577,6,,,,0,0,JavaScript,93241114,true,true,true,false,1559938993,1560091629,1620781887,"master","","","",7,9,4,3,5
14,Generic,https://github.com/marwen-selmi/hoc-movieapp.git,false,false,false,0,0,177,0,,,,0,1,JavaScript,195182,true,true,true,false,1585765220,1585765587,1585765584,"master","","","",1,2,1,1,1
15,Generic,https://github.com/mishon-pon-pon/goreact.git,false,false,false,0,0,661,1,,,,0,2,JavaScript,59678052,true,true,true,false,1584850912,1584975504,1644528966,"master","","","",2,5,3,3,4
16,Generic,https://github.com/momentum-team-1/js-problem-set-2-aaron-1453.git,false,false,false,0,0,9,1,,,,0,2,JavaScript,34658977,true,true,true,false,1588087579,1588117129,1588117128,"master","","","js-problem-set-2-Aaron-1453 created by GitHub Classroom",2,8,3,3,3
17,Generic,https://github.com/momentum-team-1/js-problem-set-2-alyshialozanosmith.git,false,false,false,0,0,9,1,,,,0,2,JavaScript,34662821,true,true,true,false,1588092498,1588120980,1588120979,"master","","","js-problem-set-2-AlyshiaLozanoSmith created by GitHub Classroom",2,8,3,3,3
18,Generic,https://github.com/nnk-ymmt/myslideshow-training.git,false,false,false,0,0,18,0,,,,0,1,JavaScript,868491,true,true,true,false,1586695423,1587564116,1587564114,"master","","","",1,2,2,2,3
19,Generic,https://github.com/qq853838500/movierecommendsystem.git,false,false,false,0,0,1156,0,,,,0,1,Scala,142240,true,true,true,false,1589261683,1589261697,1589261694,"master","","","",1,4,1,1,1
20,Generic,https://github.com/tejj2103/randomuser.git,false,false,false,0,0,41,2,,,,0,1,JavaScript,55804569,true,true,true,false,1588944048,1588972547,1644748632,"master","","","fecth random user from api and create an api to fetch on the whole list of data based on Nationalities and age group.",3,4,2,2,3
21,Generic,https://github.com/tenphi/targ.git,false,false,false,2,2,124,0,,,,0,2,CoffeeScript,407312,true,true,true,false,1352647638,1358044226,1353054936,"master","MIT License","","Typed-based handling for missed function arguments",1,6,1,1,1
22,Generic,https://github.com/tonyrlim/reversestring.git,false,false,false,0,0,0,0,,,,0,1,JavaScript,587,true,true,true,false,1594312749,1594313322,1594313320,"master","","","First Idea of how to Reverse a String in JS",1,2,1,1,2
23,Generic,https://github.com/evergreen-ci/evergreen.git,false,false,false,341,341,154344,7,,,,106,19,Go,221261866,false,true,true,false,1432749789,1645389628,1645603465,"main","Other","https://evergreen.mongodb.com/waterfall/evergreen","A Distributed Continuous Integration System from MongoDB",18,8036,106,58,111
24,Generic,https://github.com/daveton/react-st.git,false,false,false,0,0,43190,1,,,,0,1,HTML,4234359,true,true,true,false,1632302824,1636707677,1636709061,"master","","","",3,77,2,2,3
25,Generic,https://github.com/qilianshuo/qilianshuo.github.io.git,false,false,false,0,0,8319,0,,,,0,0,HTML,784353,true,true,true,true,1569741771,1643951361,1644729988,"master","","","",1,18,1,1,1
26,Generic,https://github.com/sebastian-getts/notes.git,false,false,false,0,0,44407,18,,,,0,2,HTML,72325847,true,true,true,false,1572452724,1625241164,1644779356,"source","","","My blogs' notes.",19,99,3,3,4
27,Generic,https://github.com/volgactf/volgactf-qualifier-frontend.git,false,false,false,2,2,990,2,,,,1,3,HTML,195001827,true,true,false,false,1421772946,1616774792,1616774790,"master","MIT License","","VolgaCTF Qualifier platform frontend",3,318,6,6,7
28,Generic,https://github.com/1010993137/hrm.git,false,false,false,0,0,10217,4,,,,0,2,JavaScript,120032688,true,true,true,false,1589188732,1590938369,1644445518,"master","MIT License","","",5,885,55,53,57
29,Generic,https://github.com/189569400/jumpserver.git,false,false,false,0,0,50334,0,,,,0,1,JavaScript,182666086,true,true,true,false,1587131355,1587132170,1587132085,"master","GNU General Public License v2.0","","https://github.com/jumpserver/jumpserver.git",11,5846,119,73,120
30,Generic,https://github.com/1906-share-code/code-share.git,false,false,false,0,0,3062,17,,,,0,1,JavaScript,157662067,true,true,true,false,1565797132,1567605987,1644667849,"master","MIT License","","",27,367,26,14,27
31,Generic,https://github.com/2019-echo-team-kali/career-track-application.git,false,false,false,0,0,2895,22,,,,2,3,JavaScript,69880894,true,true,true,false,1575320456,1576709062,1645201035,"master","","","This is our Capstone Project which is a job tracking software that enables users to manage their job searching process",107,308,10,9,11
32,Generic,https://github.com/30-seconds/30-seconds-of-code.git,false,false,false,92406,92406,28564,6,,,,9805,2434,JavaScript,133234009,true,true,true,false,1511976903,1645620390,1645210913,"master","Creative Commons Attribution 4.0 International","https://www.30secondsofcode.org/js/p/1","Short JavaScript code snippets for all your development needs",1,5437,300,190,302
33,Generic,https://github.com/377014200/react-diary.git,false,false,false,1,1,587,16,,,,1,1,JavaScript,77574300,true,true,true,false,1567600270,1596802130,1645175018,"master","","","",17,165,3,3,4
34,Generic,https://github.com/4gmz/plantillashtml1.git,false,false,false,0,0,20686,10,,,,0,1,JavaScript,236839920,true,true,true,true,1583844868,1583847508,1644724067,"master","MIT License","","",12,238,19,16,20
35,Generic,https://github.com/6gawd/whatsfordinner3.git,false,false,false,0,0,89780,16,,,,0,1,JavaScript,88663637,true,true,true,false,1584936025,1592327369,1645226500,"master","","","Speech to Text API that helps you with your grocery shopping and figuring out what to eat for dinner!",17,171,8,5,9
36,Generic,https://github.com/8bitjonny/jsgame.git,false,false,false,0,0,968,14,,,,0,0,JavaScript,84602581,true,true,true,false,1560550131,1601044902,1645153818,"master","GNU General Public License v3.0","","A web game with a self written game engine in pure js",18,118,5,3,6
37,Generic,https://github.com/93jcbo/empathize-blog.git,false,false,false,0,0,13655,0,,,,0,2,JavaScript,152265728,true,true,true,false,1584729667,1586331976,1586331973,"master","","","",1,1268,45,34,46
38,Generic,https://github.com/98group1/microcredit.git,false,false,false,0,0,12923,6,,,,0,1,JavaScript,80079473,true,true,true,false,1564365595,1565352771,1644444963,"master","","","二期项目",7,116,6,6,7
39,Generic,https://github.com/a-modern-fruit-shop-2001-tof232c/a-modern-fruit-stand.git,false,false,false,6,6,4265,25,,,,0,1,JavaScript,157715539,true,true,true,false,1583168175,1586894792,1644721321,"master","MIT License","","https://modern-fruit-stand.herokuapp.com/",20,545,33,18,34
40,Generic,https://github.com/aadityasharma/aadi-blog-netlify.git,false,false,false,0,0,11150,19,,,,0,1,JavaScript,211111775,true,true,true,false,1568045268,1568045463,1645177870,"master","MIT License","","",19,643,45,33,46
